step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
840.0,50,2033.0,39.09615384615385,0.4667428970456869,50,4815.0,0.0,50,4815.0,False,,
845.0,50,2283.0,39.36206896551724,1.8206972295653239,50,5065.0,0.12898029548951062,50,5065.0,False,,
850.0,48,2446.0,42.172413793103445,1.335622361635887,48,5228.0,0.09456106022859055,48,5228.0,False,,
855.0,50,2644.0,45.58620689655172,0.906826952990346,50,5426.0,0.0162616152433537,50,5426.0,False,,
860.0,52,2903.0,50.05172413793103,1.2459741938295503,52,5685.0,3.564476695739628e-06,52,5685.0,False,,
865.0,50,3140.0,49.84126984126984,2.3730818434681846,50,5922.0,0.10714285714285714,50,5922.0,False,,
870.0,48,3360.0,56.0,2.511405326613009,48,6142.0,0.1368751539301498,48,6142.0,False,,
875.0,49,3601.0,60.016666666666666,2.0232198326512356,49,6383.0,0.07160579543659892,49,6383.0,False,,
880.0,52,3856.0,67.64912280701755,1.1550714118829155,52,6638.0,8.517469875128663e-05,52,6638.0,False,,
885.0,50,3914.0,71.16363636363636,0.7450951825332445,50,6386.0,0.0,50,6386.0,False,,
890.0,40,3154.0,52.56666666666667,2.792146682862111,40,6098.0,0.16425637149789013,40,6098.0,False,,
895.0,32,2566.0,42.766666666666666,4.632506111145555,32,4872.0,0.2110611959016004,32,4872.0,False,,
900.0,26,1762.0,30.379310344827587,3.724563878307094,26,5008.0,0.14306643233853877,26,5008.0,False,,
905.0,26,1168.0,22.037735849056602,2.7181563325578297,26,5144.0,0.09043425072706338,26,5144.0,False,,
910.0,30,1310.0,25.192307692307693,1.9448827528001356,30,5286.0,0.07877339693007206,30,5286.0,False,,
915.0,38,1484.0,24.327868852459016,2.1876932895186116,38,5460.0,0.1527637937155979,38,5460.0,False,,
920.0,44,1694.0,27.322580645161292,1.4396785257077649,44,5672.0,0.10702080612573045,44,5672.0,False,,
925.0,52,1942.0,30.34375,0.8371931876821741,52,5922.0,0.03337041814598356,52,5922.0,False,,
930.0,60,2233.0,34.890625,0.8236555479040002,60,6213.0,3.1046599082369305e-05,60,6213.0,False,,
935.0,60,2533.0,39.578125,0.8026394595679439,60,6513.0,6.016499029963959e-07,60,6513.0,False,,
940.0,60,2833.0,41.661764705882355,1.5296818484314663,60,6813.0,0.10792426965248243,60,6813.0,False,,
945.0,60,3133.0,46.0735294117647,1.0550528936170553,60,7113.0,0.07525191872273798,60,7113.0,False,,
950.0,64,3448.0,50.705882352941174,0.7782972407204057,64,7428.0,2.836522947343332e-05,64,7428.0,False,,
955.0,64,3768.0,55.411764705882355,0.7909027088762776,64,7748.0,0.0,64,7748.0,False,,
960.0,64,4088.0,62.89230769230769,0.18564249449613865,64,8068.0,0.0,64,8068.0,False,,
965.0,64,4408.0,61.22222222222222,1.4041690053764837,64,8388.0,0.1012911427039489,64,8388.0,False,,
970.0,66,4730.0,65.69444444444444,0.8917657270481103,66,8710.0,0.06347753645114268,66,8710.0,False,,
975.0,68,5064.0,70.33333333333333,0.7478450665635241,68,9044.0,6.10766029212887e-07,68,9044.0,False,,
980.0,68,5404.0,75.05555555555556,0.7539114351284137,68,9384.0,0.0,68,9384.0,False,,
985.0,68,5744.0,77.62162162162163,1.0877125675675676,68,9724.0,0.08108108108108109,68,9724.0,False,,
990.0,68,6084.0,80.05263157894737,1.1517199676429515,68,10064.0,0.08458388205975904,68,10064.0,False,,
995.0,70,6428.0,84.57894736842105,0.7041626404841709,70,10408.0,0.05108187922903934,70,10408.0,False,,
1000.0,72,6788.0,89.3157894736842,0.6849951504335081,72,10768.0,2.233465840485573e-06,72,10768.0,False,,
1005.0,72,7148.0,94.05263157894737,0.682671420058636,72,11128.0,0.0,72,11128.0,False,,
1010.0,72,7508.0,93.85,1.2825446560019969,72,11488.0,0.09397519281705388,72,11488.0,False,,
1015.0,73,7869.0,98.3625,0.8962390198743939,73,11849.0,0.06638786051446628,73,11849.0,False,,
1020.0,73,7995.0,99.9375,0.47519439418039894,73,11543.0,0.033975494009180304,73,11543.0,False,,
1025.0,67,7161.0,89.5125,0.9177374858450131,67,10627.0,0.012434601668097161,67,10627.0,False,,
1030.0,58,6327.0,79.0875,2.2831557859069402,58,9771.0,0.04765836759502895,58,9771.0,False,,
1035.0,50,5668.0,67.47619047619048,2.917753235372526,50,10018.0,0.1472256508116873,50,10018.0,False,,
1040.0,45,4984.0,63.08860759493671,2.210813135711797,45,10222.0,0.12202474524736931,45,10222.0,False,,
1045.0,56,5247.0,65.5875,1.8121861621137625,56,10487.0,0.07160723752121893,56,10487.0,False,,
1050.0,58,4963.0,60.52439024390244,1.2755816076136821,58,10205.0,0.025743982031914758,58,10205.0,False,,
1055.0,58,3018.0,36.80487804878049,1.5317317616241515,58,9466.0,0.01961139545046399,58,9466.0,False,,
1060.0,55,2251.0,25.579545454545453,2.940885572221272,55,8902.0,0.12849612457282933,55,8902.0,False,,
1065.0,58,2324.0,27.023255813953487,2.383039490520528,58,9178.0,0.10323033176694937,58,9178.0,False,,
1070.0,63,2631.0,32.08536585365854,1.5373498903365537,63,9485.0,0.039802843031778425,63,9485.0,False,,
1075.0,69,2966.0,38.02564102564103,0.6197679566125266,69,9820.0,0.0011862520112126882,69,9820.0,False,,
1080.0,74,3329.0,43.23376623376623,0.4550401309916868,74,10183.0,1.742628135048809e-05,74,10183.0,False,,
1085.0,74,3699.0,44.566265060240966,1.3149016290303255,74,10553.0,0.08972977858522785,74,10553.0,False,,
1090.0,78,4073.0,49.670731707317074,0.5998094165815878,78,10927.0,0.04487889281067303,78,10927.0,False,,
